piece,time,letter,triad,sevenths
orchestra_addon/CrossEra-1601_Bach_CPE_sinfonia_in_a_major_wq._182_no._4.mp3,0.0,na,na,na
nan,0.0,F#,maj,na
nan,0.1,F#,maj,na
nan,0.2,F#,maj,na
nan,0.3,F#,maj,na
nan,0.4,F#,maj,na
nan,0.5,F#,maj,na
nan,0.6,F#,maj,na
nan,0.7,F#,maj,na
nan,0.8,B,min,na
nan,0.9,B,min,na
nan,1.0,B,min,na
nan,1.1,B,min,na
nan,1.2,B,min,na
nan,1.3,B,min,na
nan,1.4,B,min,na
nan,1.5,B,min,na
nan,1.6,B,min,na
nan,1.7,B,min,na
nan,1.8,B,min,na
nan,1.9,B,min,na
nan,2.0,B,min,na
nan,2.1,B,min,na
nan,2.2,B,min,na
nan,2.3,B,min,na
nan,2.4,B,min,na
nan,2.5,B,min,na
nan,2.6,B,min,na
nan,2.7,B,min,na
nan,2.8,B,min,na
nan,2.9,B,min,na
nan,3.0,B,min,na
nan,3.1,B,min,na
nan,3.2,B,min,na
nan,3.3,B,min,na
nan,3.4,B,min,na
nan,3.5,B,min,na
nan,3.6,B,min,na
nan,3.7,B,min,na
nan,3.8,B,min,na
nan,3.9,B,min,na
nan,4.0,B,min,na
nan,4.1,B,min,na
nan,4.2,B,min,na
nan,4.3,B,min,na
nan,4.4,B,min,na
nan,4.5,B,min,na
nan,4.6,B,min,na
nan,4.7,B,min,na
nan,4.8,B,min,na
nan,4.9,B,min,na
nan,5.0,B,min,na
nan,5.1,B,min,na
nan,5.2,B,min,na
nan,5.3,B,min,na
nan,5.4,B,min,na
nan,5.5,B,min,na
nan,5.6,B,min,na
nan,5.7,B,min,na
nan,5.8,B,min,na
nan,5.9,B,min,na
nan,6.0,B,min,na
nan,6.1,B,min,na
nan,6.2,A,maj,maj7
nan,6.3,A,maj,maj7
nan,6.4,A,maj,maj7
nan,6.5,A,maj,maj7
nan,6.6,A,maj,maj7
nan,6.7,A,maj,maj7
nan,6.8,A,maj,maj7
nan,6.9,A,maj,maj7
nan,7.0,A,maj,maj7
nan,7.1,A,maj,maj7
nan,7.2,A,maj,maj7
nan,7.3,A,maj,maj7
nan,7.4,A,maj,maj7
nan,7.5,A,maj,maj7
nan,7.6,A,maj,maj7
nan,7.7,A,maj,maj7
nan,7.8,A,maj,maj7
nan,7.9,A,maj,maj7
