piece,time,letter,triad,sevenths
orchestra_addon/CrossEra-1606_Bach_CPE_sinfonia_in_g_major_wq._182_no._1.mp3,0,na,na,na
nan,0,G,maj,na
nan,0.1,G,maj,na
nan,0.2,F#,min,na
nan,0.3,F#,min,na
nan,0.4,F#,min,na
nan,0.5,F#,min,na
nan,0.6,F#,min,na
nan,0.7,F#,min,na
nan,0.8,F#,min,na
nan,0.9,F#,min,na
nan,1,F#,min,na
nan,1.1,F#,min,na
nan,1.2,F#,min,na
nan,1.3,F#,min,na
nan,1.4,F#,min,na
nan,1.5,F#,min,na
nan,1.6,F#,min,na
nan,1.7,F#,min,na
nan,1.8,F#,min,na
nan,1.9,G,maj,na
nan,2,G,maj,na
nan,2.1,G,maj,na
nan,2.2,G,maj,na
nan,2.3,G,maj,na
nan,2.4,G,maj,na
nan,2.5,G,maj,na
nan,2.6,G,maj,na
nan,2.7,G,maj,na
nan,2.8,G,maj,na
nan,2.9,G,maj,na
nan,3,G,maj,na
nan,3.1,G,maj,na
nan,3.2,D,maj,na
nan,3.3,D,maj,na
nan,3.4,D,maj,na
nan,3.5,D,maj,na
nan,3.6,D,maj,na
nan,3.7,D,maj,na
nan,3.8,D,maj,na
nan,3.9,D,maj,na
nan,4,D,maj,na
nan,4.1,D,maj,na
nan,4.2,D,maj,na
nan,4.3,D,maj,na
nan,4.4,D,maj,na
nan,4.5,D,maj,na
nan,4.6,D,maj,na
nan,4.7,D,maj,na
nan,4.8,D,maj,na
nan,4.9,D,maj,na
nan,5,D,maj,na
nan,5.1,D,maj,na
nan,5.2,D,maj,na
nan,5.3,D,maj,na
nan,5.4,D,maj,na
nan,5.5,D,maj,na
nan,5.6,D,maj,na
nan,5.7,D,maj,na
nan,5.8,D,maj,na
nan,5.9,D,maj,na
nan,6,D,maj,na
nan,6.1,D,maj,na
nan,6.2,D,maj,na
nan,6.3,D,maj,na
nan,6.4,D,maj,na
nan,6.5,D,maj,na
nan,6.6,D,maj,na
nan,6.7,D,maj,na
nan,6.8,D,maj,na
nan,6.9,D,maj,na
nan,7,D,maj,na
nan,7.1,D,maj,na
nan,7.2,D,maj,na
nan,7.3,D,maj,na
nan,7.4,D,maj,na
nan,7.5,D,maj,na
nan,7.6,D,maj,na
nan,7.7,D,maj,na
nan,7.8,D,maj,na
nan,7.9,D,maj,na
nan,8,D,maj,na
nan,8.1,D,maj,na
nan,8.2,D,maj,na
nan,8.3,D,maj,na
nan,8.4,D,maj,na
nan,8.5,D,maj,na
nan,8.6,D,maj,na
nan,8.7,D,maj,na
nan,8.8,D,maj,na
nan,8.9,F,maj,maj7
nan,9,F,maj,maj7
nan,9.1,F,maj,maj7
nan,9.2,F,maj,maj7
nan,9.3,F,maj,maj7
nan,9.4,F,maj,maj7
nan,9.5,F,maj,maj7
nan,9.6,F,maj,maj7
nan,9.7,F,maj,maj7
nan,9.8,F,maj,maj7
nan,9.9,F,maj,maj7
nan,10,C,min,na
nan,10.1,C,min,na
nan,10.2,C,min,na
nan,10.3,C,min,na
nan,10.4,C,min,na
nan,10.5,C,min,na
nan,10.6,C,min,na
nan,10.7,C,min,na
nan,10.8,D,maj,na
nan,10.9,D,maj,na
nan,11,D,maj,na
nan,11.1,D,maj,na
nan,11.2,D,maj,na
nan,11.3,D,maj,na
nan,11.4,D,maj,na
nan,11.5,D,maj,na
nan,11.6,G,min,na
nan,11.7,G,min,na
nan,11.8,G,min,na
nan,11.9,G,min,na
nan,12,G,min,na
nan,12.1,G,min,na
nan,12.2,G,min,na
nan,12.3,G,min,na
nan,12.4,G,min,na
nan,12.5,G,min,na
nan,12.6,G,min,na
nan,12.7,G,min,na
nan,12.8,G,min,na
nan,12.9,G,min,na
nan,13,G,min,na
nan,13.1,G,min,na
nan,13.2,G,min,na
nan,13.3,G,min,na
nan,13.4,G,min,na
nan,13.5,G,min,na
nan,13.6,G,min,na
nan,13.7,G,min,na
nan,13.8,G,min,na
nan,13.9,G,min,na
nan,14,G,min,na
nan,14.1,G,min,na
nan,14.2,G,min,na
nan,14.3,G,min,na
nan,14.4,G,min,na
nan,14.5,G,min,na
nan,14.6,G,min,na
nan,14.7,G,min,na
nan,14.8,E,min,min7
nan,14.9,E,min,min7
nan,15,E,min,min7
nan,15.1,E,min,min7
nan,15.2,E,min,min7
nan,15.3,E,min,min7
nan,15.4,E,min,min7
nan,15.5,E,min,min7
nan,15.6,E,min,min7
nan,15.7,E,min,min7
nan,15.8,E,min,min7
nan,15.9,E,min,min7
nan,16,E,min,min7
nan,16.1,E,min,min7
nan,16.2,E,min,min7
nan,16.3,E,min,min7
nan,16.4,E,min,min7
nan,16.5,E,min,min7
nan,16.6,E,min,min7
nan,16.7,E,min,min7
nan,16.8,E,min,min7
nan,16.9,E,min,min7
nan,17,E,min,min7
nan,17.1,E,min,min7
nan,17.2,E,min,min7
nan,17.3,E,min,min7
nan,17.4,E,min,min7
nan,17.5,E,min,min7
nan,17.6,E,min,min7
nan,17.7,E,min,min7
nan,17.8,E,min,min7
nan,17.9,E,min,min7
nan,18,E,min,min7
nan,18.1,E,min,min7
nan,18.2,E,min,min7
nan,18.3,E,min,min7
nan,18.4,E,min,min7
nan,18.5,E,min,min7
nan,18.6,E,min,min7
nan,18.7,E,min,min7
nan,18.8,E,min,min7
nan,18.9,E,min,min7
nan,19,E,min,min7
nan,19.1,E,min,min7
nan,19.2,E,min,min7
nan,19.3,E,min,min7
nan,19.4,E,min,min7
nan,19.5,E,min,min7
nan,19.6,E,min,min7
nan,19.7,E,min,min7
nan,19.8,E,min,min7
orchestra_addon/CrossEra-1609_beethoven_no002_02_larghetto.mp3,0,na,na,na
nan,0,A,maj,na
nan,0.1,A,maj,na
nan,0.2,A,maj,na
nan,0.3,A,maj,na
nan,0.4,A,maj,na
nan,0.5,A,maj,na
nan,0.6,A,maj,na
nan,0.7,A,maj,na
nan,0.8,A,maj,na
nan,0.9,A,maj,na
nan,1,E,maj,maj7
nan,1.1,E,maj,maj7
nan,1.2,E,maj,maj7
nan,1.3,E,maj,maj7
nan,1.4,E,maj,maj7
nan,1.5,E,maj,maj7
nan,1.6,E,maj,maj7
nan,1.7,E,maj,maj7
nan,1.8,E,maj,maj7
nan,1.9,E,maj,maj7
nan,2,E,maj,maj7
nan,2.1,E,maj,maj7
nan,2.2,E,maj,maj7
nan,2.3,E,maj,maj7
nan,2.4,E,maj,maj7
nan,2.5,E,maj,maj7
nan,2.6,E,maj,maj7
nan,2.7,E,maj,maj7
nan,2.8,E,maj,maj7
nan,2.9,E,maj,maj7
nan,3,E,maj,maj7
nan,3.1,E,maj,maj7
nan,3.2,E,maj,maj7
nan,3.3,E,maj,maj7
nan,3.4,E,maj,maj7
nan,3.5,E,maj,maj7
nan,3.6,E,maj,maj7
nan,3.7,E,maj,maj7
nan,3.8,E,maj,maj7
nan,3.9,E,maj,maj7
nan,4,E,maj,maj7
nan,4.1,E,maj,maj7
nan,4.2,E,maj,maj7
nan,4.3,E,maj,maj7
nan,4.4,E,maj,maj7
nan,4.5,E,maj,maj7
nan,4.6,E,maj,maj7
nan,4.7,E,maj,maj7
nan,4.8,E,maj,maj7
nan,4.9,E,maj,maj7
nan,5,E,maj,maj7
nan,5.1,E,maj,maj7
nan,5.2,E,maj,maj7
nan,5.3,E,maj,maj7
nan,5.4,E,maj,maj7
nan,5.5,E,maj,maj7
nan,5.6,E,maj,maj7
nan,5.7,E,maj,maj7
nan,5.8,E,maj,maj7
nan,5.9,E,maj,maj7
nan,6,E,maj,maj7
nan,6.1,E,maj,maj7
nan,6.2,E,maj,maj7
nan,6.3,E,maj,maj7
nan,6.4,E,maj,maj7
nan,6.5,E,maj,maj7
nan,6.6,E,maj,maj7
nan,6.7,E,maj,maj7
nan,6.8,E,maj,maj7
nan,6.9,E,maj,maj7
nan,7,E,maj,maj7
nan,7.1,E,maj,maj7
nan,7.2,E,maj,maj7
nan,7.3,E,maj,maj7
nan,7.4,E,maj,maj7
nan,7.5,E,maj,maj7
nan,7.6,E,maj,maj7
nan,7.7,E,maj,maj7
nan,7.8,Ab,dim,na
nan,7.9,Ab,dim,na
nan,8,Ab,dim,na
nan,8.1,Ab,dim,na
nan,8.2,Ab,dim,na
nan,8.3,Ab,dim,na
nan,8.4,Ab,dim,na
nan,8.5,Ab,dim,na
nan,8.6,Ab,dim,na
nan,8.7,Ab,dim,na
nan,8.8,Ab,dim,na
nan,8.9,Ab,dim,na
nan,9,Ab,dim,na
nan,9.1,A,maj,na
nan,9.2,A,maj,na
nan,9.3,A,maj,na
nan,9.4,A,maj,na
nan,9.5,A,maj,na
nan,9.6,A,maj,na
nan,9.7,A,maj,na
nan,9.8,A,maj,na
nan,9.9,E,maj,na
nan,10,E,maj,na
nan,10.1,E,maj,na
nan,10.2,E,maj,na
nan,10.3,E,maj,na
nan,10.4,E,maj,na
nan,10.5,E,maj,na
nan,10.6,E,maj,na
nan,10.7,E,maj,na
nan,10.8,E,maj,na
nan,10.9,E,maj,na
nan,11,E,maj,na
nan,11.1,E,maj,na
nan,11.2,E,maj,na
nan,11.3,E,maj,na
nan,11.4,E,maj,na
nan,11.5,E,maj,na
nan,11.6,E,maj,na
nan,11.7,E,maj,na
nan,11.8,E,maj,na
nan,11.9,E,maj,na
nan,12,E,maj,na
nan,12.1,Bb,dim,min7
nan,12.2,Bb,dim,min7
nan,12.3,Bb,dim,min7
nan,12.4,Bb,dim,min7
nan,12.5,Bb,dim,min7
nan,12.6,Bb,dim,min7
nan,12.7,Bb,dim,min7
nan,12.8,Bb,dim,min7
nan,12.9,Bb,dim,min7
nan,13,Bb,dim,min7
nan,13.1,Bb,dim,min7
nan,13.2,Bb,dim,min7
nan,13.3,Bb,dim,min7
nan,13.4,Bb,dim,min7
nan,13.5,Bb,dim,min7
nan,13.6,E,maj,na
nan,13.7,E,maj,na
nan,13.8,E,maj,na
nan,13.9,E,maj,na
nan,14,E,maj,na
nan,14.1,E,maj,na
nan,14.2,E,maj,na
nan,14.3,E,maj,na
nan,14.4,E,maj,na
nan,14.5,E,maj,na
nan,14.6,B,maj,min7
nan,14.7,B,maj,min7
nan,14.8,B,maj,min7
nan,14.9,B,maj,min7
nan,15,B,maj,min7
nan,15.1,B,maj,min7
nan,15.2,B,maj,min7
nan,15.3,B,maj,min7
nan,15.4,B,maj,min7
nan,15.5,B,maj,min7
nan,15.6,B,maj,min7
nan,15.7,B,maj,min7
nan,15.8,B,maj,min7
nan,15.9,B,maj,min7
nan,16,B,maj,min7
nan,16.1,E,maj,na
nan,16.2,E,maj,na
nan,16.3,E,maj,na
nan,16.4,E,maj,na
nan,16.5,E,maj,na
nan,16.6,E,maj,na
nan,16.7,E,maj,na
nan,16.8,E,maj,na
nan,16.9,E,maj,na
nan,17,A,maj,na
nan,17.1,A,maj,na
nan,17.2,A,maj,na
nan,17.3,A,maj,na
nan,17.4,A,maj,na
nan,17.5,A,maj,na
nan,17.6,A,maj,na
